[1.5605492342218032, 0.11501557524833414]
epoch=0, time=80.606720 s[1.2923581705679805, 0.057981116179790765]
epoch=1, time=76.869128 s[1.3009353565176152, 0.05395757479386197]
epoch=2, time=77.254683 s[1.2386312617265083, 0.06962650486578544]
epoch=3, time=77.803501 s[1.272266745541963, 0.06002826460947593]
epoch=4, time=77.231703 s[1.161433735395296, 0.06533100259386831]
epoch=5, time=81.767923 s[1.2015784253565966, 0.0726118032924003]
epoch=6, time=86.504519 s[1.190022435795048, 0.06584289856255054]
epoch=7, time=84.222747 s[1.16419477324235, 0.06880395383470589]
epoch=8, time=80.009242 s[1.1376753527396926, 0.06260427729123169]
epoch=9, time=81.549339 s[1.1132457079438707, 0.06147816632356909]
epoch=10, time=82.113526 s[1.0959494708675463, 0.05888348165899515]
epoch=11, time=80.345933 s[1.1291699136580011, 0.0523267373856571]
epoch=12, time=81.704208 s[1.0825018255398302, 0.05251869414415625]
epoch=13, time=81.572827 s[1.0598812848703392, 0.05248920578095648]
epoch=14, time=82.076647 s[1.26559870153914, 0.03734384632358948]
epoch=15, time=79.173027 s[1.0843311599997991, 0.04128521587699652]
epoch=16, time=80.743770 s[1.125541315271784, 0.041092818033778004]
epoch=17, time=84.877877 s[1.0189226666782731, 0.046533712082439]
epoch=18, time=85.733935 s[1.2161409837017518, 0.03759420963211192]
epoch=19, time=83.282017 s[1.0267276362139632, 0.04060502526246839]
epoch=20, time=83.371337 s[1.0380777649040422, 0.04140083812591103]
epoch=21, time=80.676939 s[1.008613819324107, 0.04432170527676741]
epoch=22, time=81.088582 s[1.0001321889244876, 0.0437477882951498]
epoch=23, time=81.767227 s[0.9928044644690015, 0.04109089154129227]
epoch=24, time=81.431685 s[1.0598096764338905, 0.03998897597193718]
epoch=25, time=79.979342 s[0.978320614602588, 0.0398621732989947]
epoch=26, time=79.812290 s[0.9560470971963161, 0.041806777835720114]
epoch=27, time=78.589388 s[0.9340445741251577, 0.04218441165155835]
epoch=28, time=79.040876 s[0.9855027713381488, 0.04021975315279431]
epoch=29, time=83.865545 s[0.9111702339992775, 0.04140989182309972]
epoch=30, time=84.125310 s[0.9067028037652575, 0.042358316791554294]
epoch=31, time=82.466698 s[0.9087489473712304, 0.0416510778789719]
epoch=32, time=81.449301 s[0.9044643138973528, 0.04092858866271046]
epoch=33, time=83.179602 s[1.0144378990338954, 0.03666322993942433]
epoch=34, time=80.005940 s[0.8852030593043263, 0.03978234136270152]
epoch=35, time=81.029206 s[0.8947010514121101, 0.04088877607136965]
epoch=36, time=80.641592 s[0.9496305641903832, 0.03931486244416899]
epoch=37, time=81.047386 s[0.8206759039780829, 0.04004950593743059]
epoch=38, time=81.897238 s[1.0552347481397146, 0.038085799819479384]
epoch=39, time=81.851660 s[0.8794421604791087, 0.035625620952083006]
epoch=40, time=89.127892 s[0.8370293387155368, 0.03911276896380716]
epoch=41, time=97.096895 s[0.9304941454920647, 0.03626627723375956]
epoch=42, time=101.361600 s[0.8496264297594402, 0.03852002850423256]
epoch=43, time=107.621017 s[0.8187949357465935, 0.039063007260362305]
epoch=44, time=109.205351 s[0.8378090642558877, 0.03970629732227988]
epoch=45, time=109.160205 s[0.8064946831555642, 0.03947375135289298]
epoch=46, time=109.366300 s[0.8432921062794244, 0.038849680581026606]
epoch=47, time=115.975830 s[0.7483736953647233, 0.039120270767145686]
epoch=48, time=116.132761 s[1.1837250280544445, 0.03170082744003998]
epoch=49, time=117.422362 s[0.7870870776396656, 0.03625304262257285]
epoch=50, time=122.103054 s[0.8090172321886132, 0.038135557538933225]
epoch=51, time=116.462886 s[0.8366136446786647, 0.037085931127270065]
epoch=52, time=116.941098 s[0.7640509741722858, 0.03730164861513509]
epoch=53, time=120.442275 s[0.8642364884191542, 0.03812301417605744]
