[1.391758231210416, 0.19365697354078293]
epoch=0, time=3.290183 s[1.3276618814327237, 0.21444667130708694]
epoch=1, time=0.728234 s[1.2502045665255217, 0.20312298089265823]
epoch=2, time=0.820241 s[0.9063334418253564, 0.24740111827850342]
epoch=3, time=0.831269 s[1.074125375524697, 0.2779633402824402]
epoch=4, time=0.828774 s[0.8946265754130013, 0.23228763043880463]
epoch=5, time=0.892755 s[1.395287277491529, 0.2062447965145111]
epoch=6, time=0.828480 s[0.8309649514403149, 0.18483736366033554]
epoch=7, time=0.822341 s[0.9301075420126679, 0.16101893037557602]
epoch=8, time=0.821707 s[1.3065945478332393, 0.14032793045043945]
epoch=9, time=0.852162 s[0.9856114677471974, 0.14572042226791382]
epoch=10, time=1.013576 s[0.9171158903100047, 0.16665254533290863]
epoch=11, time=0.749649 s[1.055625437869221, 0.1469302922487259]
epoch=12, time=0.830930 s[1.646310821094505, 0.09746841713786125]
epoch=13, time=0.826856 s[0.988893760498045, 0.11850081756711006]
epoch=14, time=0.825734 s[0.9277447932838708, 0.13008863478899002]
epoch=15, time=0.845932 s[0.91908128727959, 0.12468970566987991]
epoch=16, time=0.836281 s[1.0344144579746222, 0.11287859454751015]
epoch=17, time=0.841919 s[1.5479819034768587, 0.11694309115409851]
epoch=18, time=0.829226 s[1.0163850882904522, 0.11734049394726753]
epoch=19, time=0.903397 s[0.9661046047266526, 0.10750723257660866]
epoch=20, time=1.013743 s[0.944883659881526, 0.1047210618853569]
epoch=21, time=0.737143 s[0.9790902695157324, 0.11005401611328125]
epoch=22, time=0.840345 s[0.9913761369969419, 0.12106966599822044]
epoch=23, time=0.834943 s[1.1584780184626602, 0.09827547520399094]
epoch=24, time=0.832764 s[1.447908603140392, 0.1071905829012394]
epoch=25, time=0.829179 s[0.9178593873475449, 0.11147701740264893]
epoch=26, time=0.834656 s[0.9768368165139591, 0.11525841802358627]
epoch=27, time=0.824997 s[0.9811096314481017, 0.11469472944736481]
epoch=28, time=0.824851 s[0.9153783673111915, 0.13165046274662018]
epoch=29, time=0.826095 s[1.0353414976452913, 0.11595089733600616]
epoch=30, time=1.016648 s[1.1241821573228792, 0.09432147443294525]
epoch=31, time=0.740975 s[1.039841370063385, 0.12109577655792236]
epoch=32, time=0.837002 s[0.8984640386868179, 0.12434696778655052]
epoch=33, time=0.837706 s[1.1376224609814194, 0.10899307578802109]
epoch=34, time=0.853880 s[1.9601076969334992, 0.07599252462387085]
epoch=35, time=0.842847 s[1.0604704691446876, 0.09071428701281548]
epoch=36, time=0.849374 s[0.9768404284937496, 0.10035785287618637]
epoch=37, time=0.860330 s[1.095302061783862, 0.09387766569852829]
epoch=38, time=0.836478 s[1.046524488733895, 0.09373941645026207]
epoch=39, time=0.830751 s[1.069464030228004, 0.09954847395420074]
epoch=40, time=1.032860 s[1.1773207717633245, 0.0969357043504715]
epoch=41, time=0.729374 s[0.9704677530635196, 0.09972650557756424]
epoch=42, time=0.855448 s[0.9824597174278473, 0.09682067483663559]
epoch=43, time=0.842144 s[1.1285221159288024, 0.09927928447723389]
epoch=44, time=0.853318 s[1.0282463219795108, 0.1056692898273468]
epoch=45, time=0.836194 s[0.8241192878445509, 0.1217787005007267]
epoch=46, time=0.840891 s[0.9557475151955246, 0.10583540052175522]
epoch=47, time=0.833657 s[1.287205202858161, 0.09929848089814186]
epoch=48, time=0.829818 s[1.4915720318783467, 0.0716051422059536]
epoch=49, time=0.829032 s[1.110739815866137, 0.10847457125782967]
epoch=50, time=1.125621 s[0.9692188864375019, 0.0885588638484478]
epoch=51, time=0.741609 s[0.9509611018830204, 0.08778821676969528]
epoch=52, time=0.840496 s[0.957631859185815, 0.08705337718129158]
epoch=53, time=0.844448 s[0.9675783199613912, 0.10281095281243324]
epoch=54, time=0.846807 s[0.9458823682871015, 0.10082763060927391]
epoch=55, time=0.840321 s[0.9833629152636878, 0.09794135764241219]
epoch=56, time=0.859977 s[1.194973670554003, 0.08382372185587883]
epoch=57, time=0.851940 s[1.0512368150503943, 0.08619531989097595]
epoch=58, time=0.831267 s[0.9610921915593942, 0.09171080589294434]
epoch=59, time=0.837058 s[0.9168225476018805, 0.09037088230252266]
epoch=60, time=1.039246 s[0.9866247085109525, 0.09772228077054024]
epoch=61, time=0.754542 s[0.9603266227470335, 0.09714090451598167]
epoch=62, time=0.856999 s[0.948833827954568, 0.10623202472925186]
epoch=63, time=0.843934 s[0.866534135524387, 0.1073332279920578]
epoch=64, time=0.858367 s[0.8829878277202126, 0.10947832465171814]
epoch=65, time=0.854049 s[0.9410449508078836, 0.10251680016517639]
epoch=66, time=0.842528 s[0.8320374489512672, 0.1148330494761467]
