[1.6099771251103774, 0.23873981833457947]
epoch=0, time=19.049549 s[3.9130151984487282, 0.4190375953912735]
epoch=1, time=0.703437 s[1.6459960247551, 0.3397909849882126]
epoch=2, time=0.803862 s[1.3274696988745935, 0.2562851011753082]
epoch=3, time=0.798492 s[0.9551417408139934, 0.2170858234167099]
epoch=4, time=0.799459 s[0.8569228350994251, 0.1992824375629425]
epoch=5, time=0.816670 s[0.8058932509164995, 0.16902458667755127]
epoch=6, time=0.802508 s[0.9130990073988422, 0.1275707110762596]
epoch=7, time=0.824866 s[2.1637384169850016, 0.09647844731807709]
epoch=8, time=0.816167 s[1.7557374431054282, 0.05177292041480541]
epoch=9, time=0.811964 s[1.1662813891940607, 0.06009706109762192]
epoch=10, time=0.978071 s[1.207684647611055, 0.06396216712892056]
epoch=11, time=0.716115 s[1.1183555383969654, 0.0592137835919857]
epoch=12, time=0.805213 s[1.3112582074551147, 0.07683730311691761]
epoch=13, time=0.803490 s[1.1956969516644884, 0.07683872804045677]
epoch=14, time=0.806395 s[1.0928342578779962, 0.06469732522964478]
epoch=15, time=0.807505 s[0.9373885859252828, 0.07845602929592133]
epoch=16, time=0.801906 s[0.8340434636673144, 0.08047417551279068]
epoch=17, time=0.814862 s[1.2409882742619112, 0.07736805081367493]
epoch=18, time=0.807877 s[2.0860588666890987, 0.055900633335113525]
epoch=19, time=0.812948 s[1.0835362854357835, 0.0667300894856453]
epoch=20, time=1.148918 s[0.9273145376758672, 0.06966449692845345]
epoch=21, time=0.712090 s[0.9655635609846381, 0.06910039111971855]
epoch=22, time=0.816811 s[0.8922463630532552, 0.07372453808784485]
epoch=23, time=0.815166 s[0.9787169010492291, 0.07283391803503036]
epoch=24, time=0.807707 s[1.3539095338317915, 0.05305198393762112]
epoch=25, time=0.815777 s[1.469067957632225, 0.03733445145189762]
epoch=26, time=0.811223 s[1.0601183852955711, 0.045848093926906586]
epoch=27, time=0.810794 s[0.9603562797042948, 0.05380035191774368]
epoch=28, time=0.809046 s[0.8479754054689993, 0.07180239260196686]
epoch=29, time=0.807234 s[0.759469844929332, 0.08819738030433655]
epoch=30, time=0.985544 s[0.7762604261415676, 0.08816396445035934]
epoch=31, time=0.716125 s[0.7228281089011761, 0.0929308794438839]
epoch=32, time=0.812206 s[0.8157993883864201, 0.08034289255738258]
epoch=33, time=0.813739 s[1.185426632437905, 0.06289941444993019]
epoch=34, time=0.816384 s[1.3343690042473995, 0.06428076326847076]
epoch=35, time=0.814295 s[1.0495283716063941, 0.05908951908349991]
epoch=36, time=0.815064 s[0.9148480307631358, 0.061410922557115555]
epoch=37, time=0.814303 s[0.9396434226631599, 0.06221930310130119]
epoch=38, time=0.817485 s[1.111562060139658, 0.06794652342796326]
epoch=39, time=0.811020 s[1.269816979496602, 0.06149384006857872]
epoch=40, time=0.985698 s[0.9106214839308783, 0.05739711597561836]
epoch=41, time=0.713225 s[0.899928080714146, 0.05799356289207935]
epoch=42, time=0.811034 s[0.8608143251028499, 0.05956225097179413]
epoch=43, time=0.818318 s[0.929791530571542, 0.06354633718729019]
epoch=44, time=0.814780 s[1.0205567814781844, 0.07444693520665169]
epoch=45, time=0.815994 s[1.0265811228485187, 0.05829931050539017]
epoch=46, time=0.816808 s[1.086993430130164, 0.05256371200084686]
epoch=47, time=0.821333 s[1.1867270462965385, 0.05418768152594566]
epoch=48, time=0.820231 s[0.9707313589319899, 0.05127514339983463]
epoch=49, time=0.816030 s[0.9973536309887692, 0.053165629506111145]
epoch=50, time=1.000038 s[1.0475201315261553, 0.054607320576906204]
epoch=51, time=0.719070 s[1.117617275072706, 0.05818311125040054]
epoch=52, time=0.822871 s[1.3846900198532315, 0.041140515357255936]
epoch=53, time=0.823059 s[1.2526725240433896, 0.041197728365659714]
epoch=54, time=0.816057 s[1.0229600124645766, 0.040791772305965424]
epoch=55, time=0.821858 s[1.01003187885541, 0.04109663888812065]
epoch=56, time=0.823991 s[0.9361376049378363, 0.04855821654200554]
epoch=57, time=0.821140 s[0.8591985023812317, 0.05538731813430786]
epoch=58, time=0.822166 s[0.8995078244488608, 0.05512357875704765]
epoch=59, time=0.821522 s[0.9709724286998102, 0.05141963250935078]
epoch=60, time=1.008635 s[2.0315766768942862, 0.03371909260749817]
epoch=61, time=0.722485 s[1.3479939341105505, 0.027407784946262836]
epoch=62, time=0.820699 s[1.1902334310511644, 0.026723843067884445]
epoch=63, time=0.821338 s[1.0911078411162127, 0.030016939155757427]
epoch=64, time=0.827787 s[1.024205035019226, 0.03847923502326012]
epoch=65, time=0.820649 s[0.9996478905793889, 0.03585209511220455]
epoch=66, time=0.819919 s[1.0161491109529663, 0.04029632732272148]
epoch=67, time=0.820360 s[0.9631886250438257, 0.040127551183104515]
epoch=68, time=0.830924 s[1.0767475848748418, 0.03785557486116886]
epoch=69, time=0.829185 s[0.9592136462056285, 0.04306740686297417]
epoch=70, time=0.993410 s[0.9340324420532162, 0.045344408601522446]
epoch=71, time=0.720696 s[0.9575291929286784, 0.0553314033895731]
epoch=72, time=0.825678 s[1.3051786586155878, 0.04431884177029133]
epoch=73, time=0.821817 s[1.4737949202724967, 0.03612271696329117]
epoch=74, time=0.824229 s[1.0381174578905, 0.032354628667235374]
epoch=75, time=0.826561 s[1.0061905848176353, 0.03894740156829357]
epoch=76, time=0.827496 s[1.0181190371062336, 0.04203098453581333]
epoch=77, time=0.824580 s[0.9318624142007628, 0.042610615491867065]
epoch=78, time=0.817943 s[0.8972509479872119, 0.043149763718247414]
epoch=79, time=0.824360 s[0.9609862183981004, 0.04312959499657154]
epoch=80, time=0.999201 s[1.3207589080527435, 0.04197741113603115]
epoch=81, time=0.731379 s[1.456207241722392, 0.03148999065160751]
epoch=82, time=0.819060 s[1.982470054162333, 0.02527552843093872]
