[1.5852494471298868, 0.1819615140557289]
epoch=0, time=6.426254 s[1.5409905907457477, 0.17061325162649155]
epoch=1, time=3.410400 s[1.0107220842912081, 0.21923767030239105]
epoch=2, time=3.781569 s[0.9098338942468506, 0.23149636387825012]
epoch=3, time=3.835581 s[2.7219242649390187, 0.12767275422811508]
epoch=4, time=4.070953 s[1.2324146525997755, 0.09165224432945251]
epoch=5, time=3.922574 s[1.0646814453171598, 0.14674188941717148]
epoch=6, time=3.871862 s[0.7686654810970823, 0.24557090550661087]
epoch=7, time=3.867077 s[2.312349090826715, 0.08887328952550888]
epoch=8, time=3.856302 s[1.278424110389076, 0.08709048479795456]
epoch=9, time=3.856509 s[1.0426238063673021, 0.13272665813565254]
epoch=10, time=5.010683 s[1.4540100140894776, 0.09629281982779503]
epoch=11, time=3.579203 s[1.3265645599957374, 0.06263904459774494]
epoch=12, time=3.990442 s[1.1745466052291897, 0.07269379869103432]
epoch=13, time=3.952467 s[1.1019938038005437, 0.08582665026187897]
epoch=14, time=3.866637 s[1.5578735657266265, 0.043392518535256386]
epoch=15, time=4.015502 s[1.28387004635031, 0.044215504080057144]
epoch=16, time=4.118068 s[1.2762423040271478, 0.03783578425645828]
epoch=17, time=4.120576 s[1.3367075436518034, 0.03496374562382698]
epoch=18, time=4.137171 s[1.270891211549052, 0.03665633499622345]
epoch=19, time=4.113337 s[1.3229100629128776, 0.03439980000257492]
epoch=20, time=5.269796 s[1.2954092775742858, 0.04236568138003349]
epoch=21, time=3.358316 s[1.26157298932706, 0.04492027498781681]
epoch=22, time=3.876467 s[1.2890618940665626, 0.049031492322683334]
epoch=23, time=3.825230 s[1.2990233092338235, 0.04373427294194698]
epoch=24, time=3.854997 s[1.236380257826, 0.04489420726895332]
epoch=25, time=3.855509 s[1.2232847819182633, 0.05575616657733917]
epoch=26, time=3.864670 s[1.199453187207852, 0.04977165162563324]
epoch=27, time=3.817184 s[1.1864099046623333, 0.05905144847929478]
epoch=28, time=4.136076 s[1.2909018839968458, 0.062302116304636]
epoch=29, time=4.225672 s[1.1872685699850658, 0.058005956932902336]
epoch=30, time=4.974947 s[1.254855541077553, 0.057814961299300194]
epoch=31, time=3.526481 s[1.306209960499173, 0.0427079051733017]
epoch=32, time=3.927639 s[1.201751962764689, 0.051350418478250504]
epoch=33, time=3.927585 s[1.169594457853843, 0.054399557411670685]
epoch=34, time=3.951983 s[1.229207711115314, 0.053618377074599266]
epoch=35, time=4.080589 s[1.2170273258660205, 0.0549387913197279]
epoch=36, time=4.168814 s[1.146467495995077, 0.05536859668791294]
epoch=37, time=3.895355 s[1.1795937867727437, 0.052883705124258995]
epoch=38, time=3.853353 s[1.319542882087249, 0.04614144563674927]
epoch=39, time=3.895261 s[1.228252021447618, 0.04629906080663204]
epoch=40, time=4.746547 s[1.174225851751254, 0.050066325813531876]
epoch=41, time=3.465210 s[1.1010431742699267, 0.05887187644839287]
epoch=42, time=3.933905 s[1.2246744609203597, 0.05971566401422024]
epoch=43, time=3.924234 s[1.480465303312175, 0.0446537584066391]
epoch=44, time=3.960647 s[1.2543376489324118, 0.03833964839577675]
epoch=45, time=4.111696 s[1.1856620096162336, 0.041611198335886]
epoch=46, time=4.033211 s[1.1846343258464975, 0.04747506603598595]
epoch=47, time=3.866835 s[1.1475618253999933, 0.04660126753151417]
epoch=48, time=3.992270 s
